카드ID,카드,혜택분류,혜택내용
1,신한카드 Hi-Point,소매,백화점/할인점/홈쇼핑·온라인몰 1.0~5.0% 적립
1,신한카드 Hi-Point,생활서비스,"S-OIL, 현대오일뱅크 주유 시 리터 당 60원 적립"
1,신한카드 Hi-Point,생활서비스,SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립
2,신한카드 Love,소매,"국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인"
2,신한카드 Love,음식,"국내 유명 패밀리레스토랑, 커피 20~30% 할인"
2,신한카드 Love,생활서비스,GS칼텍스 리터당 60원 할인
3,신한카드 Lady,소매,"3대 백화점(롯데,신세계,현대) 및 롯데마트 5% 결제일 할인"
3,신한카드 Lady,음식,국내 유명 패밀리 레스토랑 및 커피 최대 20% 할인
3,신한카드 Lady,생활서비스,S-OIL 주유 시 리터 당 60원 적립
3,신한카드 Lady,생활서비스,"이동통신요금 자동이체 시 2% 결제일 할인(SKT, KT, LGT)"
7,신한카드 23.5°,음식,스타벅스 음료 최대 4천원 할인
8,신한카드 The CLASSIC-Y,생활서비스,GS칼텍스 주유 시 리터당 60원 결제일 할인
8,신한카드 The CLASSIC-Y,생활서비스,커피/제과/택시/화장품/영화 5% 할인
8,신한카드 The CLASSIC-Y,소매,제주 JDC 면세점 이용 시 8% 할인
10,신한카드 B.Big(삑),소매,4대 백화점 5% 할인
10,신한카드 B.Big(삑),음식,커피전문점 10% 할인
10,신한카드 B.Big(삑),소매,편의점 5% 할인
10,신한카드 B.Big(삑),생활서비스,이동통신요금 5% 할인
11,신한카드 Simple+,생활서비스,생활친화가맹점 잔돈할인 서비스(Coin-Save)
12,신한카드 Air Platinum#,생활서비스,마이신한포인트 추가 적립
13,신한카드 Mr.Life,생활서비스,월납요금(공과금) 10% 할인서비스
13,신한카드 Mr.Life,소매,편의점 10% 할인
13,신한카드 Mr.Life,생활서비스,병원/약국업종 10% 할인
13,신한카드 Mr.Life,생활서비스,세탁소 업종 10% 할인
13,신한카드 Mr.Life,음식,식음료 10% 할인
13,신한카드 Mr.Life,소매,3대 마트 10% 할인
13,신한카드 Mr.Life,생활서비스,4대 정유사 리터당 60원 할인
14,신한카드 YOLO ⓘ,음식,"스타벅스, 커피빈"
14,신한카드 YOLO ⓘ,소매,"GS25, 세븐일레븐, CU"
14,신한카드 YOLO ⓘ,음식,"파리바게트, 뚜레쥬르"
14,신한카드 YOLO ⓘ,음식,스타벅스 모바일쿠폰 보너스 리워드
15,신한카드 The CLASSIC+,생활서비스,GS칼텍스 주유 시 리터당 40원 결제일 할인
15,신한카드 The CLASSIC+,소매,제주 JDC 면세점 8% 결제일 할인
15,신한카드 The CLASSIC+,음식,"스타벅스 3,000원 할인"
16,신한카드 RPM+ Platinum#,생활서비스,모든 주유소 리터당 40~150포인트/충전소 리터당 10~50포인트 적립
16,신한카드 RPM+ Platinum#,소매,1~5% 특별적립
16,신한카드 RPM+ Platinum#,소매,1~5% 특별적립
17,신한카드 YOLO Tasty,소매,쇼핑업종 10% 결제일 할인
17,신한카드 YOLO Tasty,음식,외식업종 10% 결제일 할인
17,신한카드 YOLO Tasty,음식,KFC 20% 결제일 할인
17,신한카드 YOLO Tasty,음식,"커피, 베이커리 업종 20% 결제일 할인"
18,신한카드 Shopping,소매,"[쇼핑 할인] 오프라인 쇼핑(백화점, 프리미엄 아울렛, 마트, 창고형 할인매장) 10% 할인
· 온라인 쇼핑(홈쇼핑, 소셜커머스) 10% 할인"
18,신한카드 Shopping,생활서비스,"[생활 할인] 커피전문점·잡화·온라인서점 10% 할인
· 주유 60원/L 할인"
18,신한카드 Shopping,음식,"[제휴 할인] 마켓컬리, 프레딧, 집반찬연구소 10% 할인서비스"
19,신한카드 O2O,생활서비스,이동통신요금 자동이체 시 10% 결제일 할인
19,신한카드 O2O,음식,스타벅스 사이렌 오더 결제 시 최대 2천원 결제일 할인
19,신한카드 O2O,생활서비스,"카카오택시, 마켓컬리, 포잉 등 10~20% 결제일 할인"
21,신한카드 Simple Platinum#,생활서비스,잔돈 할인 서비스(COIN - SAVE)
22,카카오페이 신한카드,음식,"스타벅스, 커피빈 10% 할인"
24,EDIYA 신한카드 Tasty,음식,EDIYA COFFEE 50% 결제일 할인
24,EDIYA 신한카드 Tasty,소매,"Trendy 서비스 - 쇼핑, 다이닝, 몰링"
25,신한카드 Noon,음식,점심시간 요식업종 가맹점 30% 할인
25,신한카드 Noon,음식,"커피전문점/제과점 업종 가맹점 2,000원 할인"
25,신한카드 Noon,생활서비스,"이동통신요금 자동이체 3,000원 할인"
26,신한카드 Edu,생활서비스,"아파트 관리비 자동이체 매월 5,000원 캐시백"
26,신한카드 Edu,생활서비스,주요 생활업종 이용시 1% 캐시백
28,신세계 신한카드,소매,신세계백화점 5% 결제일 할인
28,신세계 신한카드,생활서비스,Life Care가맹점 5% 결제일 할인
30,모바일 Tmoney 신한카드,음식,스타벅스 사이렌 오더 50% 할인
30,모바일 Tmoney 신한카드,생활서비스,통신요금 자동이체 시 5% 할인
31,신한카드 All Pass,소매,편의점 10% 할인
31,신한카드 All Pass,음식,커피전문점 20% 할인
32,신한카드 Deep Dream,생활서비스,더해드림 - 자주 가는 DREAM영역은 기본의 3배(총 2.1%) 포인트 적립
32,신한카드 Deep Dream,생활서비스,챙겨드림 - DREAM영역 중 가장 많이 이용한 영역 기본의 5배(총 3.5%) 포인트 자동적립
32,신한카드 Deep Dream,생활서비스,"주말(토, 일) 전 주유소 리터당 80원 적립"
33,신한카드 The CLASSIC-L,음식,커피 무료 서비스
33,신한카드 The CLASSIC-L,생활서비스,GS칼텍스 주유 시 리터당 40원 결제일 할인
33,신한카드 The CLASSIC-L,소매,LG패션/오케이아웃도어닷컴/Outdous 5% 할인 서비스
35,GS칼텍스 신한카드 Shine,생활서비스,GS칼텍스 주유 시 리터당 60~100원 할인
37,신한카드 The BEST-F,음식,스타벅스 커피 할인 / 이마트 피자 무료 제공 서비스 / 특급호텔 베이커리 특별 할인 서비스
37,신한카드 The BEST-F,소매,"주요 백화점, 할인점, 아울렛 할인"
38,신한카드 Lesson Platinum#,생활서비스,COIN-SAVE 잔돈 할인
39,신한카드 Deep Oil,생활서비스,4개의 정유사 중 직접 고른 1개 정유사 주유 이용금액 10% 결제일 할인
39,신한카드 Deep Oil,소매,"GS25, CU 5% 결제일 할인"
39,신한카드 Deep Oil,음식,"스타벅스, 이디야 5% 결제일 할인"
40,신한카드 Deep Dream Platinum+,생활서비스,자주 가는 DREAM 영역 2.4~3.3% 포인트 적립
40,신한카드 Deep Dream Platinum+,생활서비스,가장 많이 가는 DREAM 영역 4.0~5.5% 포인트 적립
40,신한카드 Deep Dream Platinum+,생활서비스,"주유소 리터당 80원 적립, 택시 2천 원 할인"
41,신한카드 Deep On Platinum+,생활서비스,"4대 편의점, 생활/잡화, 커피, 월납 20% 할인"
42,SOCAR 제휴 SOCAR 신한카드,생활서비스,SOCAR 결제 시 30% 결제일 할인
42,SOCAR 제휴 SOCAR 신한카드,음식,커피전문점 20% 결제일 할인
42,SOCAR 제휴 SOCAR 신한카드,소매,"GS25, CU, 세븐일레븐 편의점 5% 결제일 할인"
42,SOCAR 제휴 SOCAR 신한카드,소매,"홈플러스, 이마트, 롯데마트 3대 할인점 3% 결제일 할인"
43,신한카드 Deep Store,소매,생활쇼핑 최대 15% 결제일 할인
43,신한카드 Deep Store,음식,커피전문점/제과점 업종 10% 결제일 할인
43,신한카드 Deep Store,소매,주말 3대 할인점 10% 결제일 할인
45,American Express Blue(아멕스블루),생활서비스,편의점·배달앱 7% 멤버십리워즈 적립
45,American Express Blue(아멕스블루),음식,스타벅스·이디야 20% 결제일할인
45,American Express Blue(아멕스블루),생활서비스,교통·통신 5% 멤버십리워즈 적립
45,American Express Blue(아멕스블루),소매,쇼핑·해외 1.5% 멤버십리워즈 적립
46,삼성카앤모아카드,생활서비스,국내외 모든 가맹점에서 0.2%·0.4% 주유포인트 적립
46,삼성카앤모아카드,생활서비스,전국 주유소 리터당 60원 결제일할인(청구할인) (LPG 30원)
46,삼성카앤모아카드,음식,"스타벅스 1,000원 할인"
50,아시아나 삼성지엔미플래티늄카드,생활서비스,S-OIL 리터당 40 보너스포인트 적립
50,아시아나 삼성지엔미플래티늄카드,음식,아웃백스테이크하우스 10% 할인
50,아시아나 삼성지엔미플래티늄카드,음식,"스타벅스 1,000원 결제일할인"
51,삼성카드 taptap O,생활서비스,이동통신요금 10% 결제일할인
52,삼성카드 taptap S,생활서비스,"모든 주유소 및 LPG 충전소 2,000원 결제일 할인"
53,아시아나 삼성애니패스플래티늄카드,생활서비스,"S-OIL 주유소에서 휘발유, 경유, 등유 주유시 리터당 40보너스포인트 적립"
53,아시아나 삼성애니패스플래티늄카드,음식,"스타벅스 1,000원 결제일 할인"
55,CU·배달의민족 삼성카드 taptap,소매,"CU 1,500원당 200원 결제일할인"
55,CU·배달의민족 삼성카드 taptap,음식,"음식점·주점 1,000원 결제일할인"
56,삼성카드 지엔미+,음식,커피전문점 10% 결제일할인
56,삼성카드 지엔미+,음식,"VIPS·계절밥상 20,000원 결제일할인"
56,삼성카드 지엔미+,생활서비스,교육·할인점·이동통신·병원·약국 1.5% 결제일할인
57,삼성카드 애니패스+,음식,커피전문점 10% 결제일할인
57,삼성카드 애니패스+,음식,"VIPS·계절밥상 20,000원 결제일할인"
57,삼성카드 애니패스+,생활서비스,음식점·주점·편의점·주유·택시 1.5% 결제일할인
58,카라이프 삼성카드 DISCOUNT+,생활서비스,모든 주유소에서 주유 시 리터당 90원 결제일할인
58,카라이프 삼성카드 DISCOUNT+,생활서비스,"할인점, 소셜커머스, 커피전문점, 편의점, 영화 할인"
59,삼성카드 taptap I,소매,일상패키지: 슈퍼마켓·프리미엄 아울렛 등 3% 결제일할인
59,삼성카드 taptap I,음식,일상패키지: 10대 커피전문점·제과점 30% 결제일할인
59,삼성카드 taptap I,음식,일상패키지: 음식점·신선식품 배송 20% 결제일할인
61,스카이패스 삼성아멕스카드,생활서비스,S-OIL 주유소 주유 시 리터당 40 보너스포인트 적립
62,글로벌쇼핑 삼성카드 5v2,음식,커피전문점·파리바게뜨·배스킨라빈스·던킨도너츠 10% 결제일할인
63,삼성페이 삼성카드 taptap,생활서비스,이동통신요금 10% 결제일할인
64,신세계이마트 삼성카드7,소매,신세계백화점·이마트 제휴 혜택
72,트레이더스신세계 삼성카드,소매,트레이더스 결제일할인
72,트레이더스신세계 삼성카드,생활서비스,이동통신 5% 결제일할인
72,트레이더스신세계 삼성카드,음식,커피전문점 5% 결제일할인
72,트레이더스신세계 삼성카드,소매,신세계백화점 제휴 서비스
72,트레이더스신세계 삼성카드,생활서비스,병원·약국 5% 결제일할인(청구할인)
73,카드의정석 NEW우리V카드,생활서비스,"대형마트, 백화점, 주유 등 5% 청구할인"
73,카드의정석 NEW우리V카드,음식,"아웃백, 애슐리, TGIF 등 25% 청구할인"
73,카드의정석 NEW우리V카드,음식,"탐앤탐스, 스타벅스 20% 청구할인"
74,All For Me카드,생활서비스,주요 7대 업종 10~5% 청구할인
74,All For Me카드,음식,커피 20% 청구할인
74,All For Me카드,음식,"치킨, 피자 10% 청구할인"
77,위비멤버스카드,소매,"대형할인점, 면세점 1.5% 및 위비마켓 2% 위비꿀머니 적립"
77,위비멤버스카드,생활서비스,이동통신 1.5% 위비꿀머니 적립
77,위비멤버스카드,생활서비스,병의원 1.5% 위비꿀머니 적립
77,위비멤버스카드,음식,치킨/피자 10% 청구할인
77,위비멤버스카드,음식,"스타벅스, 이디야, 폴바셋 10% 청구할인"
80,썸(SUM) 페이 카드,생활서비스,PAY 외 결제 시 5% 할인
80,썸(SUM) 페이 카드,음식,치킨/피자 10% 청구할인
81,위메프 우리카드,음식,스타벅스(사이렌오더 포함) 50% 청구 할인
81,위메프 우리카드,소매,편의점 업종 10% 청구 할인
82,우리 XGOLF 카드,소매,"Well Living: 백화점, 온라인 쇼핑, 대형할인점 모아포인트 1% 적립"
82,우리 XGOLF 카드,생활서비스,Well Living: 이동통신 모아포인트 1.5% 적립
82,우리 XGOLF 카드,생활서비스,Well Living: 병원(동물병원 포함) 모아포인트 1.5% 적립
84,카드의정석 POINT,생활서비스,이동통신 업종 모아포인트 5% 적립
84,카드의정석 POINT,음식,"스타벅스, 엔제리너스, 이디야 모아포인트 3% 적립"
84,카드의정석 POINT,소매,"백화점, 할인점, 온라인쇼핑 모아포인트 1% 적립"
84,카드의정석 POINT,생활서비스,주유 모아포인트 1% 적립
85,카드의정석 SHOPPING,소매,온·오프라인 쇼핑 10% 청구할인
85,카드의정석 SHOPPING,생활서비스,4대 주유소 주말 주유시 리터당 60원 청구할인
85,카드의정석 SHOPPING,음식,"스타벅스, 폴바셋 10% 청구할인"
86,카드의정석 DISCOUNT,생활서비스,"S-OIL, 현대오일뱅크 리터당 60~100원 청구할인"
86,카드의정석 DISCOUNT,음식,"스타벅스, 폴바셋 10% 청구할인"
87,DA@카드의정석,음식,제과점 1.3% 청구할인
87,DA@카드의정석,소매,편의점 1.3% 청구할인
87,DA@카드의정석,소매,수퍼마켓 1.3% 청구할인
87,DA@카드의정석,생활서비스,"병원, 약국 1.3% 청구할인"
87,DA@카드의정석,소매,"면세점, 해외이용금액 1.3% 청구할인"
87,DA@카드의정석,생활서비스,뷰티 1.3% 청구할인
87,DA@카드의정석,음식,음식점 1.3% 청구할인
87,DA@카드의정석,생활서비스,렌탈관련 이용금액 0.8% 청구할인
87,DA@카드의정석,생활서비스,주유관련 이용금액 0.8% 청구할인
87,DA@카드의정석,생활서비스,통신관련 이용금액 0.8% 청구할인
88,D4@카드의정석,음식,"커피 4대 브랜드 통합 (스타벅스, 투썸플레이스, 커피빈, 폴바셋) 55% 청구할인"
88,D4@카드의정석,소매,편의점 11% 청구할인
89,우리Most카드,생활서비스,SK네트웍스 Most 주유소 리터당 최대 200원 청구할인
91,카드의정석 PREMIUM POINT,생활서비스,"현대오일뱅크, S-OIL 주유 및 충전 시 리터당 60원 청구할인"
92,카드의정석 PREMIUM MILEAGE(SKYPASS),생활서비스,"현대오일뱅크, S-OIL 주유 및 충전 시 리터당 60원 청구할인"
93,카드의정석 PREMIUM MILEAGE(AsianaClub),생활서비스,"현대오일뱅크, S-OIL 주유 및 충전 시 리터당 60원 청구할인"
94,LoL CHAMPIONS KOREA 우리카드,생활서비스,"S-OIL, 현대오일뱅크 리터당 60~100원 청구할인"
94,LoL CHAMPIONS KOREA 우리카드,음식,"스타벅스, 폴바셋 10% 청구할인"
101,NEW 씨티 클리어,음식,매일 전국 모든식당 및 레스토랑 5% 청구할인 (오전 11시~오후2시)
101,NEW 씨티 클리어,생활서비스,통신 7% 청구할인
101,NEW 씨티 클리어,소매,쇼핑 7% 청구할인
101,NEW 씨티 클리어,음식,"다이닝 10% 청구할인
배달앱 7% 청구할인"
106,굿데이카드,생활서비스,"주유소, 충전소 업종 리터당 60원 청구할인"
106,굿데이카드,생활서비스,"전화요금, 인터넷이용료, 케이블TV 업종 10% 청구할인"
106,굿데이카드,생활서비스,"음식점, 커피전문점, 편의점, 약국 업종 10% 추가 청구할인"
107,SK LPG SAVE KB국민카드,생활서비스,"SK 충전소에서 건당 3만원이상 충전 시 1,500원 정액 청구할인"
107,SK LPG SAVE KB국민카드,음식,"3대 패밀리레스토랑(아웃백,VIPS,TGIF) 이용 시 10% 청구할인"
108,와이즈카드,생활서비스,특별 포인트리
109,SK에너지 러브유 KB국민카드,생활서비스,SK에너지 주유시 리터당 100원 청구할인
112,GS행복가득카드,생활서비스,GS칼텍스 리터당 100원 현장할인
115,굿데이올림카드,생활서비스,"주유소, 충전소 업종 리터당 60원 청구할인"
115,굿데이올림카드,소매,대형마트 10% 청구할인
115,굿데이올림카드,생활서비스,"전화요금, 인터넷이용료, 케이블TV 업종 10% 청구할인"
115,굿데이올림카드,생활서비스,"음식점, 커피전문점, 편의점, 약국 업종 10% 추가 청구할인"
116,청춘대로카드,음식,커피/제과/아이스크림 5~10% 할인
116,청춘대로카드,생활서비스,뷰티업종 최대 10% 할인
121,다담카드,생활서비스,"SKT, KT Olleh, LG U+ 10% 청구할인"
121,다담카드,생활서비스,SK주유소(충전소) 리터당 60원 청구할인
122,모바일101카드,생활서비스,"SKT, KT, LGU+ 이동통신요금 최대 3,000원 청구할인"
125,E1 LPG KB국민카드,생활서비스,E1 LPG충전소 리터당 100원 청구할인
125,E1 LPG KB국민카드,소매,인터넷 쇼핑몰/소셜커머스 10% 청구할인
125,E1 LPG KB국민카드,음식,패밀리레스토랑 이용금액 10% 청구할인
127,청춘대로 매니아i카드,생활서비스,이동통신요금 5% 적립
127,청춘대로 매니아i카드,생활서비스,"SK, GS칼텍스 주유소 리터당 100점 적립"
127,청춘대로 매니아i카드,음식,"커피, 디저트 10% 적립"
127,청춘대로 매니아i카드,소매,SPA 패션 20% 적립
132,청춘대로 1코노미 카드,소매,편의점 20% 포인트리 적립
132,청춘대로 1코노미 카드,음식,음식점 5% 포인트리 적립
132,청춘대로 1코노미 카드,생활서비스,이동통신요금 5% 포인트리 적립
132,청춘대로 1코노미 카드,생활서비스,"도시가스, 수도, 전기요금 등 생활요금 5% 포인트리 적립"
133,BeV Ⅲ 카드,생활서비스,주유 할인 서비스
134,탄탄대로 온리유카드,생활서비스,전 주유소 및 충전소 110~150점/L 적립
134,탄탄대로 온리유카드,생활서비스,다이렉트 자동차보험 1만원 할인
134,탄탄대로 온리유카드,생활서비스,이동통신 3사 자동납부 5% 적립
140,S-OIL LPG KB국민카드,생활서비스,"3만원 이상 충전 시 건당 1,800원 정액 청구할인"
140,S-OIL LPG KB국민카드,음식,"3대 패밀리레스토랑(아웃백,VIPS,TGIF) 이용 시 10% 청구할인"
141,KB국민 펫코노미 카드,생활서비스,반려동물 업종 10~30% 청구할인
141,KB국민 펫코노미 카드,소매,"이마트, 홈플러스, 롯데마트 5% 청구할인"
141,KB국민 펫코노미 카드,생활서비스,반려견 단체보험 무료 가입
142,톡톡 Pay카드,소매,"편의점(GS25, CU) 10% 청구할인"
143,청춘대로 꿀맛α카드,음식,"[꿀맛α Food 할인서비스]
음식업종 건당 2천원 청구할인"
143,청춘대로 꿀맛α카드,음식,"[꿀맛α Food 할인서비스]
커피/제과 업종 건당 1천원 청구할인"
144,청춘대로 꿀잠α카드,생활서비스,"[꿀잠α Relax 할인서비스]
인테리어 20% 청구할인"
148,삼성페이 KB국민카드,생활서비스,주요 생활영역 5% 할인서비스
152,에듀카드,생활서비스,약국 이용 시 10% 청구할인
156,Shopping Save카드,소매,쇼핑서비스 대상 가맹점 5~10% 적립
156,Shopping Save카드,생활서비스,이동통신요금 자동이체 시 5% 적립
156,Shopping Save카드,생활서비스,금융 수수료 면제
161,NC다이노스카드,음식,"스타벅스(사이렌오더 포함), 카페베네, 커피빈, 탐앤탐스 월 5천원~2만원 청구할인"
161,NC다이노스카드,생활서비스,휴대폰 국제전화 서비스
162,#ing(샵핑)카드,소매,"전국 주요 쇼핑업종, 모든 해외가맹점 청구할인 5% 할인(월5천원~2만5천원)"
163,#ing+(샵핑플러스)카드,소매,"전국 주요 쇼핑업종, 모든 해외가맹점 청구할인 7% 할인(월5천원~5만원)"
163,#ing+(샵핑플러스)카드,음식,"스타벅스(사이렌오더 포함), 카페베네, 커피빈, 탐앤탐스 4천원 할인"
164,ME+(미플러스)카드,음식,전국 음식점 7% 청구할인(해외포함)
164,ME+(미플러스)카드,음식,국내외 커피전문점 30% 청구할인
176,부자되세요 HomeShopping카드(비씨),생활서비스,"패밀리레스토랑, 커피, 영화 등 할인"
177,NH올원 All100(올백)카드,생활서비스,생활 업종 10% 적립
177,NH올원 All100(올백)카드,생활서비스,보험 및 금융 서비스
179,NH올원 Shopping&11번가카드(R2타입),소매,[R2-type 알찬서비스2] 대형마트/하나로클럽·마트 5% 청구할인
179,NH올원 Shopping&11번가카드(R2타입),소매,[R2-type 알찬서비스2] 백화점 5% 청구할인
179,NH올원 Shopping&11번가카드(R2타입),생활서비스,[R2-type 알찬서비스2] 병·의원/약국 5% 청구할인
179,NH올원 Shopping&11번가카드(R2타입),음식,[R2-type 알찬서비스2] 커피 10% 청구할인
179,NH올원 Shopping&11번가카드(R2타입),음식,[R2-type 알찬서비스2] 베이커리 10% 청구할인
179,NH올원 Shopping&11번가카드(R2타입),생활서비스,[R2-type 알찬서비스2] 주유 60원/L 청구할인
181,NH올원 파이카드,음식,[라이프서비스] 커피전문점 20% 청구할인
181,NH올원 파이카드,소매,[라이프서비스] 편의점 및 잡화 5% 청구할인
182,SolSol++(쏠쏠투플러스)카드,생활서비스,주요 12대 생활업종 3~12% 청구할인
183,SolSol(쏠쏠)카드,생활서비스,주요 12대 생활업종 3~12% 청구할인
184,NH20 해봄카드,생활서비스,"통신비 4,000원 할인"
184,NH20 해봄카드,음식,커피 30% 할인
184,NH20 해봄카드,소매,GS25 5% 할인
184,NH20 해봄카드,생활서비스,주유 5% 할인
185,NH농협 부자되세요 아파트카드(비씨),생활서비스,아파트관리비 최대 1만원 할인
185,NH농협 부자되세요 아파트카드(비씨),소매,쇼핑 최대 1만원 할인
185,NH농협 부자되세요 아파트카드(비씨),음식,"커피, 베이커리 5% 할인"
186,NH농협 콕카드,소매,농협 판매장 10% 할인
186,NH농협 콕카드,생활서비스,생활 업종 10% 할인
186,NH농협 콕카드,생활서비스,통신요금 10% 할인
188,올바른OIL카드,생활서비스,"GS칼텍스, 농협주유소 리터당 100원~150원 청구할인 (LPG충전소 포함)"
188,올바른OIL카드,생활서비스,"커피, 편의점, 교통 등 생활 적립서비스"
189,올바른TRAVEL카드(일본특화),생활서비스,"국내 쇼핑, 커피, 영화 등 생활할인"
190,올바른TRAVEL카드(중국특화),생활서비스,"국내 쇼핑, 커피, 영화 등 생활할인"
191,T라이트카드,생활서비스,SKT라이트할부 및 통신료 할인 서비스
191,T라이트카드,음식,생활 할인 서비스
192,KT수퍼할부카드(비씨),생활서비스,"KT라이트할부 서비스
KT통신요금(자동이체) 할인 서비스"
192,KT수퍼할부카드(비씨),생활서비스,"커피, 베이커리, 아이스크림 10% 청구할인
영화 CGV 1천원 청구할인"
193,NH올원 LGU+카드,생활서비스,"LGU+ 라이트할부 및 통신료 자동이체 최대 17,000원 할인"
193,NH올원 LGU+카드,생활서비스,"커피, 베이커리 10% 청구할인 및 CGV 1,000원 청구할인"
194,롯데포인트 플러스 카드,생활서비스,롯데카드 기본 서비스
200,올마이쇼핑 카드 (해외),소매,쇼핑+해외이용금액 할인
201,롯데백화점 롯데카드,소매,롯데백화점 15% 결제일할인
201,롯데백화점 롯데카드,소매,롯데백화점 5% 현장할인 e-쿠폰 제공
203,ALL MY DC,생활서비스,[더 할인 서비스] 통신 1.5% 청구할인
203,ALL MY DC,소매,[더 할인 서비스] 마트 1.5% 청구할인
203,ALL MY DC,생활서비스,[더 할인 서비스] 주유 1.5% 청구할인
204,ALL MY POINT,생활서비스,[더 적립 서비스] 통신 1.5% 적립
204,ALL MY POINT,소매,[더 적립 서비스] 마트 1.5% 적립
204,ALL MY POINT,생활서비스,[더 적립 서비스] 주유 1.5% 적립
205,ALL MY LIVING,생활서비스,"통신비, 주거비, 교육비 5% 할인"
205,ALL MY LIVING,소매,주말 식료품비 5% 할인
205,ALL MY LIVING,생활서비스,"의료비, 교통비, 편의점 5% 할인"
206,ALL MY DRIVING,생활서비스,주유소(가스충전소) 리터당 80원 할인
206,ALL MY DRIVING,소매,롯데마트 10% 할인
207,경차 smart 롯데카드,생활서비스,주유 할인 서비스
207,경차 smart 롯데카드,소매,쇼핑 할인 서비스
207,경차 smart 롯데카드,생활서비스,미용실 최대 20% 할인
207,경차 smart 롯데카드,음식,외식 할인
214,I’m GREAT,생활서비스,"월납생활비 - 이동통신, 공과금, 교육, 보험 5~10% 결제일 할인"
214,I’m GREAT,소매,주말생활비 - 마트/슈퍼 5~10% 결제일 할인
214,I’m GREAT,생활서비스,"일상생활비 - 의료, 교통, 편의점 5~10% 결제일 할인"
215,I’m CHEERFUL,음식,언제나 할인 - 음식점 5% 결제일 할인
215,I’m CHEERFUL,음식,"점심 할인 - 음식점 10%, 커피 30% 결제일 할인"
217,I’m JOYFUL,생활서비스,주말 주유 리터당 60원 할인
217,I’m JOYFUL,음식,야간요식 5~10% 결제일 할인
217,I’m JOYFUL,소매,"쇼핑(소셜커머스, SPA브랜드, 편의점) 5~10% 결제일 할인"
217,I’m JOYFUL,생활서비스,"헬스케어(병원, 약국, 동물병원) 5~10% 결제일 할인"
227,CLUB SK(클럽 SK)카드,생활서비스,"SK텔레콤 이동통신 요금 최대 15,000원 청구할인"
227,CLUB SK(클럽 SK)카드,생활서비스,"SK주유소 리터당 최대 150원 청구할인
SK충전소 리터당 최대 70원 청구할인"
227,CLUB SK(클럽 SK)카드,생활서비스,"교통, 영화, 외식, 커피 등 최대 10% 청구할인"
227,CLUB SK(클럽 SK)카드,소매,"이마트, 홈플러스, 롯데마트 최대 10% 청구할인"
231,하나멤버스 1Q(원큐) 카드 Living,생활서비스,국내 특화가맹점/해외 모든가맹점 하나머니 적립
